index,prediction
1740,200.0 kilogram
1743,110.0 pound
1744,
1745,120.0 volt
1746,750.0 watt
1752,35.0 pound
1753,
1754,4350.0 watt
1759,
1760,
1761,
1764,120.0 volt
1765,0.0 gram
1766,
1768,16.3 kilogram
1769,265.0 pound
1770,120.0 pound
1771,
1772,220.0 volt
1775,3.0 gram
1776,2.1 ounce
1779,20.0 volt
1780,
1792,120.0 pound
1793,10.0 ounce
1801,15.0 ounce
1802,265.0 pound
1806,450.0 gram
1809,
1815,330.0 pound
1818,7.0 ounce
1819,20.0 volt
1820,
1823,
1824,
1825,
1831,
1836,
1841,14.3 ounce
1846,
1847,
1848,
1855,265.0 pound
1858,350.0 pound
1859,50.0 pound
1860,600.0 millilitre
1861,70.0 pound
1866,64.0 gram
1867,
1868,
1869,7.7 pound
1875,
1876,30.0 pound
1877,
1878,
1879,
1880,
1881,12.0 volt
1887,
1889,
1894,2.9 pound
1895,275.0 pound
1896,
1898,12.0 ounce
1900,800.0 pound
1907,250.0 pound
1914,18.0 volt
1915,50.0 kilogram
1916,50.0 kilogram
1917,300.0 pound
1919,33.0 pound
1920,
1921,
1926,6.0 gram
1927,
1929,0.0 millilitre
1934,120.0 volt
1936,
1937,110.0 volt
1938,
1939,150.0 kilogram
1940,
1941,
1942,
1945,
1951,
1952,4.2 ounce
1953,
1954,
1957,15.0 pound
1958,1400.0 gram
1960,500.0 millilitre
1966,200.0 gram
1971,35.0 pound
1978,283.0 gram
1982,1.1 pound
1985,
1986,
1987,27.4 kilogram
1988,2.2 ounce
1989,300.0 pound
2003,
2004,600.0 watt
2005,120.0 volt
2006,
2009,0.5 pound
2010,5.0 volt
2011,5.50 watt
2017,330.0 millilitre
2018,1.6 pound
2019,
2020,
2021,
2022,
2027,3.0 gram
2031,
2032,
2035,
2036,
2037,
2038,330.0 pound
2040,
2045,2.0 ounce
2046,12.3 kilogram
2051,5.0 pound
2052,250.0 gram
2053,
2059,
2060,2.0 ounce
2061,
2064,
2069,
2070,121.5 litre
2071,127212.0 volt
2074,1.5 pound
2075,3.80 volt
2078,7.45 volt
2083,
2087,15.0 ounce
2088,1.6 pound
2089,3.5 ounce
2092,
2093,19.20 volt
2094,
2095,236.0 gram
2098,
2099,
2100,
2101,
2102,
2105,
2106,
2107,0.5 kilogram
2108,
2109,
2114,
2116,55.0 pound
2117,
2118,9607.0 watt
2125,
2126,
2129,10.0 gram
2130,
2134,1.0 gram
2135,
2136,
2139,
2140,115.0 volt
2144,550.0 watt
2145,
2146,
2147,
2148,
2154,
2155,
2159,1000.0 pound
2161,12.0 volt
2162,
2163,18.0 ounce
2167,
2168,
2169,171.0 gram
2176,
2177,1300.0 watt
2178,220.0 volt
2185,
2186,1200.0 watt
2187,
2189,500.0 millilitre
2190,
2191,419.0 gram
2192,
2204,
2209,
2211,75.0 gram
2212,
2215,200.0 gram
2216,15.0 pound
2219,
2223,10.7 pound
2224,120.0 volt
2225,1500.0 watt
2227,
2228,3.5 pound
2229,800.0 pound
2233,23.0 pound
2234,12.0 volt
2240,
2241,
2242,
2243,3.3 pound
2244,
2245,
2246,110.0 pound
2256,265.0 pound
2260,25.0 watt
2261,26.0 gram
2262,
2263,
2264,
2265,115.0 volt
2266,
2267,8.2 pound
2268,6.0 volt
2273,8.8 kilogram
2274,30.0 kilogram
2275,110.0 volt
2276,
2277,
2278,
2281,170.0 gram
2283,
2286,
2287,
2288,
2292,
2295,
2296,
2297,
2300,210.0 ton
2301,1.4 pound
2302,3.0 millilitre
2306,
2308,3.0 gram
2309,58.0 ounce
2310,
2311,2.5 gram
2316,
2317,454.0 gram
2319,29.0 gram
2322,2.0 ounce
2323,226.8 gram
2324,
2325,
2326,12.0 volt
2327,
2334,350.0 pound
2335,830.0 millilitre
2336,265.0 pound
2340,0.0 gram
2343,
2344,16.0 ounce
2347,
2348,10.0 watt
2349,
2351,
2352,300.0 watt
2360,
2362,2.6 kilogram
2363,6.0 gram
2364,12.0 volt
2370,2.0 kilogram
2371,15.6 pound
2372,6.6 pound
2377,
2378,150.0 kilogram
2381,
2382,1.8 pound
2383,700.0 watt
2386,35.0 pound
2387,
2390,12.0 ounce
2397,220.0 pound
2402,33.0 pound
2403,
2404,
2410,1.0 pound
2415,2.1 kilogram
2423,30.0 gram
2425,18.0 pound
2426,
2431,1000.0 watt
2432,
2434,12.0 fluid ounce
2435,
2436,
2442,6.5 kilogram
2443,343.0 gram
2444,
2445,
2451,
2452,
2453,
2461,900.0 watt
2462,220.0 volt
2463,59.0 pound
2464,
2466,4.0 ounce
2470,
2471,
2480,3.60 watt
2481,24.0 volt
2483,
2488,
2489,700.0 watt
2491,8.0 gram
2492,12.0 volt
2497,
2499,
2501,
2508,200.0 kilogram
2509,5.0 ounce
2510,
2511,100.0 watt
2512,2.0 ounce
2516,200.0 millilitre
2517,6.0 ounce
2518,15.5 pound
2521,
2522,
2523,
2525,
2526,300.0 watt
2528,
2529,60.0 gram
2531,
2532,106.0 pound
2536,10.0 pound
2541,
2542,500.0 watt
2543,
2551,250.0 kilogram
2554,6.0 gram
2557,
2561,265.0 pound
2562,0.6 pound
2563,
2564,2000.0 watt
2565,
2566,191.0 gram
2567,
2568,105.0 gram
2569,5.02 volt
2570,
2571,
2574,
2576,21.60 volt
2577,
2578,700.0 pound
2579,
2580,
2581,
2582,120.0 volt
2583,60.0 watt
2584,22.0 kilogram
2585,1.9 ounce
2586,
2589,18.0 pound
2590,1.4 kilogram
2594,9.0 gram
2597,10.0 pound
2603,264.5 pound
2604,2807.0 gram
2607,300.0 gram
2615,26.0 pound
2616,
2617,
2618,330.0 pound
2627,30.0 pound
2628,
2629,
2630,200.0 pound
2631,79.0 gram
2632,10.0 pound
2633,3.0 watt
2634,110.0 volt
2639,100.0 pound
2643,"[220.0, 240.0] volt"
2644,
2645,3.0 ounce
2646,330.0 pound
2652,
2653,
2654,
2655,
2656,600.0 pound
2657,600.0 pound
2658,414.0 millilitre
2659,12.0 volt
2664,2500.0 pound
2667,3.0 ounce
2668,10283.0 gram
2671,
2673,100.0 kilogram
2676,
2685,
2686,
2687,4.2 pound
2688,
2689,4.0 watt
2690,15.0 volt
2691,
2695,
2696,
2701,25.0 gram
2702,600.0 pound
2703,
2706,15.0 volt
2707,
2712,275.0 gram
2713,330.0 pound
2714,
2715,30.0 pound
2724,3.0 gram
2728,
2731,
2732,
2733,40101.0 volt
2734,1.17 watt
2735,
2736,
2737,
2738,
2739,1.6 kilogram
2744,4.20 volt
2751,4.0 pound
2754,
2755,
2756,4.0 pound
2758,
2759,1570.0 watt
2760,
2763,75.0 pound
2764,1.0 ounce
2769,
2770,0.8 pound
2774,330.0 pound
2776,
2777,
2778,120.0 watt
2779,
2780,220.0 volt
2781,
2783,200.0 pound
2787,2.5 ounce
2788,8.0 ounce
2799,5.0 pound
2802,227.0 gram
2808,45.0 pound
2812,
2813,
2814,3.6 ounce
2815,
2816,
2819,15.0 pound
2820,
2821,4.0 pound
2825,11.0 pound
2826,1200.0 watt
2827,120.0 volt
2828,
2829,1350.0 watt
2833,1600.0 watt
2834,4.4 ounce
2836,1.0 pound
2840,
2841,
2843,39.0 gram
2844,
2845,
2846,70.0 gram
2850,80.0 pound
2851,72.0 gram
2854,20.0 millilitre
2856,
2857,
2862,16.80 volt
2863,
2864,1.0 gram
2865,
2866,15.0 watt
2869,226.0 gram
2870,
2876,2.3 ounce
2877,65.0 gram
2880,75.0 gram
2882,
2886,11.5 kilogram
2889,
2890,1.0 pound
2893,
2894,
2895,
2896,
2897,
2903,
2904,
2906,
2907,18.0 volt
2909,
2914,3.0 volt
2917,1200.0 watt
2918,
2921,8.8 ounce
2931,1.0 pound
2932,265.0 pound
2933,25.0 kilogram
2939,450.0 gram
2940,154.0 pound
2941,
2946,
2951,2.4 pound
2954,1.25 watt
2955,14.0 volt
2956,
2957,80.0 volt
2958,
2962,
2964,340.0 gram
2965,
2967,
2970,
2975,283.0 gram
2978,1150.0 watt
2979,
2982,4.5 kilogram
2983,16.6 pound
2985,410.0 gram
2986,330.0 pound
2987,
2988,
2989,
2990,
2991,50.0 gram
2996,
2997,5.0 watt
2998,
2999,150.0 kilogram
3008,
3012,
3013,
3014,
3015,1000.0 watt
3016,
3018,
3019,
3020,3.70 volt
3024,12.0 volt
3027,
3029,300.0 pound
3030,
3033,16.0 ounce
3034,220.0 volt
3035,2000.0 watt
3036,
3039,1.95 watt
3040,50152.0 volt
3041,300.0 gram
3044,
3050,1.8 pound
3051,4.0 watt
3052,
3053,1.0 pound
3055,
3058,
3059,1000.0 pound
3060,108.0 pound
3061,
3062,
3063,
3065,330.0 pound
3066,14.0 kilogram
3067,300.0 gram
3068,443.0 millilitre
3071,
3073,97.0 gram
3074,
3075,
3078,6.0 ounce
3082,120.0 watt
3083,
3084,
3092,300.0 pound
3094,
3096,2.0 gram
3099,16.0 ounce
3101,
3102,
3103,5.8 gram
3107,200.0 gram
3108,286.0 pound
3115,470.0 millilitre
3116,15.0 volt
3117,3.0 gram
3118,22.0 pound
3119,
3120,
3121,
3122,16.3 ounce
3125,
3126,
3132,30.0 pound
3135,
3138,
3139,
3143,65.0 pound
3144,1077.3 gram
3145,330.0 pound
3146,
3147,
3148,
3149,
3152,
3153,
3154,
3156,105.0 gram
3165,880.0 gram
3167,
3168,120.0 pound
3169,4.0 gram
3173,
3174,
3175,
3176,
3181,
3182,
3183,
3189,
3190,120.0 volt
3191,1000.0 pound
3194,
3195,18.0 volt
3196,0.4 ounce
3197,800.0 watt
3198,110.0 volt
3199,150.0 kilogram
3200,250.0 watt
3201,
3203,
3204,220.0 pound
3206,6.3 ounce
3207,
3208,200.0 pound
3209,
3210,17.0 pound
3211,
3214,300.0 pound
3215,
3216,
3220,
3221,
3222,1500.0 watt
3223,0.2 kilogram
3225,1.5 pound
3226,50.0 gram
3227,4.0 pound
3231,50.0 pound
3232,
3234,
3239,
3244,
3245,
3246,30.0 millivolt
3247,7.6 kilogram
3249,9.0 volt
3252,
3253,
3254,1500.0 watt
3255,
3256,
3257,20.0 millilitre
3258,
3262,350.0 pound
3264,44.0 pound
3265,
3266,1300.0 watt
3267,5.0 kilogram
3268,
3274,
3275,
3276,
3284,1.4 kilogram
3287,
3290,500.0 millilitre
3291,5.0 volt
3292,48.0 watt
3294,
3296,167.6 pound
3297,
3299,
3303,
3308,
3317,
3321,15.0 kilogram
3322,
3323,
3324,
3325,
3326,
3327,
3328,600.0 watt
3329,
3330,24.0 kilogram
3333,25.0 pound
3336,4.0 pound
3337,5.0 pound
3338,60.0 pound
3341,11.7 pound
3342,
3343,25.0 pound
3347,200.0 pound
3348,
3349,17.0 pound
3350,5.0 kilogram
3351,
3352,
3359,
3360,250.0 watt
3362,58.8 kilogram
3366,
3367,1000.0 watt
3368,
3369,
3370,
3373,90.0 kilogram
3374,
3375,
3377,1.0 kilogram
3378,
3381,1800.0 watt
3382,
3383,
3384,330.0 pound
3388,22.7 kilogram
3395,100.0 pound
3396,300.0 kilogram
3397,3.5 ounce
3398,
3399,
3400,
3403,
3406,750.0 pound
3412,7.4 ounce
3415,
3416,
3418,30.0 pound
3419,
3423,
3424,3.60 volt
3427,
3428,230.0 volt
3434,21.0 volt
3442,220.0 pound
3446,
3449,23.5 gram
3453,
3454,
3455,
3456,
3457,340.0 millilitre
3458,4.0 gram
3461,63.0 pound
3462,14.0 ounce
3465,2.0 pound
3466,
3467,
3468,
3469,8.0 watt
3470,
3471,3.70 volt
3472,22.0 ounce
3483,
3486,6.0 gram
3487,
3489,
3490,
3503,330.0 pound
3506,1.7 gram
3511,
3520,
3521,
3522,250.0 pound
3524,5.0 kilogram
3525,
3526,
3529,250.0 millilitre
3530,
3534,1.7 kilogram
3535,220.0 pound
3536,
3539,
3541,
3542,2.0 watt
3545,7.0 ounce
3551,560.0 pound
3556,5.0 pound
3557,8.0 gram
3558,128.0 gram
3561,454.0 gram
3562,200.0 pound
3567,
3568,
3569,1.2 kilogram
3570,
3571,
3572,5.0 pound
3574,21.2 gram
3577,12.0 volt
3578,
3581,230.0 volt
3582,5958.0 watt
3586,8.0 pound
3592,235.0 gram
3594,
3595,115.0 volt
3600,38.0 watt
3603,
3604,15.1 pound
3606,
3610,
3617,8.0 ounce
3620,286.0 pound
3623,276.0 pound
3624,
3625,
3626,5.0 pound
3627,5.0 ton
3628,300.0 pound
3629,
3630,1700.0 watt
3631,
3635,213.0 gram
3637,75.0 kilogram
3638,220.0 pound
3639,
3640,1700.0 watt
3641,
3648,
3649,
3650,1500.0 pound
3653,220.0 volt
3654,
3655,13.0 kilogram
3656,
3657,31.0 kilogram
3658,
3662,5.0 kilogram
3666,110.0 volt
3667,
3668,
3674,500.0 millilitre
3686,5.0 ounce
3689,
3690,
3698,55156.0 gram
3699,5.0 gram
3705,
3706,2.6 pound
3709,
3710,
3711,22.0 watt
3712,
3713,783.0 pound
3714,
3715,250.0 pound
3716,
3717,
3718,
3720,
3721,
3728,127.0 volt
3729,
3730,
3733,2.3 kilogram
3736,8.0 ounce
3737,300.0 pound
3738,211.0 gram
3739,450.0 pound
3742,
3743,1000.0 watt
3744,2.0 pound
3746,5.5 gram
3747,285.0 pound
3748,
3749,
3752,50.0 gram
3753,250.0 pound
3757,12.3 ounce
3764,
3771,12.0 volt
3772,
3773,250.0 watt
3774,100.0 pound
3776,6.8 ounce
3780,560.0 gram
3781,2.0 pound
3783,
3786,
3787,1400.0 gram
3789,
3792,
3793,8.0 volt
3796,128.0 gram
3798,265.0 pound
3800,8.0 ounce
3808,
3809,12.0 volt
3810,
3811,
3813,180.0 pound
3825,
3826,
3827,120.0 watt
3830,
3833,850.0 gram
3834,
3835,
3836,330.0 pound
3841,
3845,
3846,
3849,
3850,
3851,
3852,69.2 kilogram
3853,1200.0 gram
3854,
3861,33.0 pound
3862,
3863,
3866,32.0 pound
3869,
3872,3.0 ounce
3883,34.0 gram
3884,34.0 gram
3885,950.0 gram
3887,
3893,
3895,5.0 ounce
3899,454.0 gram
3900,4.3 ounce
3909,2.4 kilogram
3912,5.0 volt
3915,1.0 pound
3917,250.0 kilogram
3918,250.0 kilogram
3922,400.0 pound
3923,
3924,265.0 pound
3925,200.0 gram
3928,400.0 volt
3929,0.29 kilowatt
3930,1.0 gram
3933,0.7 pound
3935,7.1 ounce
3936,9.2 pound
3944,
3946,
3947,
3950,300.0 pound
3951,
3952,
3953,12.0 volt
3957,
3961,
3963,
3964,
3967,
3972,
3973,2400.0 watt
3975,
3976,
3977,150.0 kilogram
3978,15.7 ounce
3982,400.0 pound
3983,28.0 pound
3984,
3985,15.71 watt
3988,
3989,300.0 watt
3999,100.0 millilitre
4000,3.0 gram
4001,
4006,34.2 pound
4007,
4013,450.0 pound
4014,330.0 pound
4018,2.3 kilogram
4023,1.0 pound
4024,
4025,
4028,1.9 pound
4038,8.0 fluid ounce
4039,
4040,
4053,3.70 volt
4055,2.4 kilogram
4059,
4065,
4066,600.0 pound
4067,600.0 pound
4068,1800.0 watt
4072,5.0 volt
4075,32.0 gram
4076,
4077,16.0 fluid ounce
4078,
4079,
4080,5.0 volt
4083,
4084,825.0 watt
4085,180.0 kilogram
4087,35.0 millilitre
4088,7.0 ounce
4089,287.0 pound
4090,
4091,65.0 watt
4093,110.0 volt
4099,
4100,
4105,660.0 pound
4106,200.0 gram
4114,0.1 pound
4115,
4116,
4120,110.0 volt
4124,
4125,120.0 volt
4126,156.0 gram
4127,5.0 volt
4128,30.0 millilitre
4136,
4138,
4139,24.0 volt
4140,
4142,12200.0 watt
4143,711.0 gram
4144,1140.0 watt
4145,115.0 volt
4147,300.0 gram
4148,65.0 pound
4149,900.0 watt
4150,
4151,1.4 kilogram
4152,700.0 watt
4158,236.0 gram
4159,3.70 volt
4162,
4163,
4169,330.0 pound
4170,330.0 pound
4178,800.0 pound
4191,1.0 pound
4192,1.0 kilogram
4194,
4195,
4196,
4200,2.0 pound
4201,60.0 watt
4202,700.0 watt
4207,10.0 gram
4208,
4209,220.0 pound
4210,220.0 volt
4211,500.0 watt
4216,
4217,20.0 volt
4234,
4235,12.0 volt
4240,507.0 pound
4251,500.0 millilitre
4252,400.0 pound
4256,
4266,800.0 pound
4267,150.0 kilogram
4278,327.0 volt
4279,17.0 watt
4280,110.0 volt
4281,
4292,
4298,
4302,
4303,
4305,
4306,
4308,
4309,
4312,
4322,
4326,
4327,330.0 pound
4332,5005000.0 watt
4333,
4342,
4345,
4347,220.0 pound
4348,
4349,115.0 volt
4352,
4353,1350.0 watt
4366,266.0 millilitre
4369,1100.0 watt
4372,
4375,
4379,
4383,3.70 volt
4384,20.0 volt
4388,
4391,
4392,
4393,
4396,
4405,
4417,
4419,
4425,
4426,
4428,330.0 pound
4434,
4437,20.0 volt
4438,59.0 pound
4444,
4446,
4447,
4449,5.0 kilogram
4450,200.0 pound
4453,
4455,
4456,24.0 volt
4459,
4460,
4466,
4467,
4468,14.40 volt
4475,
4487,15.0 kilogram
4489,220.0 pound
4492,
4493,
4494,20.0 volt
4495,
4499,
4500,
4504,
4505,
4511,
4512,
4513,230.0 volt
4514,
4516,12.0 volt
4520,
4521,
4523,
4540,440.0 pound
4543,
4544,
4545,
4549,
4556,7.0 gram
4566,
4572,
4575,1500.0 watt
4576,
4603,400.0 pound
4605,2.0 ton
4606,14.13 watt
4607,
4617,4.20 volt
4619,180.0 pound
4620,
4629,
4630,80.0 volt
4631,
4635,110.0 pound
4638,
4639,
4642,
4651,
4654,550.0 pound
4659,
4663,
4664,120.0 watt
4668,110.0 pound
4671,
4676,330.0 millilitre
4683,
4684,
4685,500.0 millilitre
4686,150.0 pound
4692,430.0 millilitre
4703,
4704,1050.0 watt
4708,
4711,
4714,330.0 pound
4721,
4722,
4723,
4724,
4742,1.0 kilogram
4744,
4746,180.0 kilogram
4749,14.90 volt
4752,5.0 volt
4753,18.0 volt
4754,
4755,12.0 volt
4758,5.0 volt
4769,
4770,2000.0 watt
4784,
4785,
4786,880.0 pound
4787,
4788,
4789,
4790,600.0 watt
4791,220.0 volt
4792,85.0 volt
4793,
4795,
4796,
4803,200.0 pound
4805,50.0 gram
4807,
4808,12.05 watt
4837,
4838,1400.0 watt
4839,
4840,
4841,330.0 pound
4846,5.0 volt
4859,1500.0 watt
4860,
4872,9.0 watt
4873,
4877,2000.0 watt
4878,110.0 volt
4879,200.0 pound
4889,
4890,12.0 watt
4892,
4894,250.0 pound
4895,40.0 pound
4896,
4897,1500.0 watt
4898,800.0 watt
4903,5.0 volt
4904,1.50 watt
4916,440.0 pound
4917,
4921,27003.70 volt
4927,
4928,828.0 millilitre
4930,175.0 pound
4931,38.0 volt
4932,
4935,440.0 pound
4937,
4940,
4941,
4946,
4952,
4953,
4954,50.0 pound
4956,330.7 pound
4963,
4964,
4971,5.0 volt
4972,
4986,44.0 watt
4987,
4992,250.0 watt
4993,
4996,150.0 kilogram
4997,
4998,
5000,
5001,
5011,320.0 pound
5012,
5018,
5020,24.0 volt
5022,45.0 watt
5023,946.4 millilitre
5033,60.0 watt
5047,
5048,
5049,
5052,
5053,
5058,
5062,265.0 pound
5064,15.0 ounce
5076,
5077,
5078,220.0 volt
5079,750.0 watt
5084,220.0 pound
5085,220.0 volt
5086,
5095,
5096,200.0 watt
5097,
5100,
5113,
5118,150.0 kilogram
5122,
5123,
5128,
5129,
5131,50.0 kilogram
5139,
