index,prediction
128567,
128571,
89550,500.0 kilogram
128751,1000.0 gram
14914,11.1 ounce
88970,32.0 gram
128755,650.0 gram
14918,
14921,45.0 pound
128574,283.0 gram
14927,37.0 gram
128575,1.0 ounce
14932,2270.0 gram
128577,1.0 gram
128578,80.0 pound
15364,27.0 pound
128579,276.0 gram
14942,
14944,
128581,
128573,64.0 gram
14900,150.0 ton
14898,227.0 gram
14897,220.0 pound
128762,150.0 gram
128545,300.0 pound
14843,40.0 gram
89639,330.0 pound
128548,
15383,5.6 kilogram
128549,418.0 ton
128550,290.0 gram
128551,1846802.0 gram
128553,
14865,
88955,98.0 gram
128555,91.0 kilogram
14867,100.0 gram
14868,0.7 kilogram
14869,454.0 gram
128556,
128759,32.0 ounce
14874,10000.0 gram
128559,0.0 gram
128561,
128562,5.2 pound
128757,
14884,240.0 gram
14888,
14893,
89573,
14953,
128583,10.0 gram
14954,
128584,
89428,5.3 pound
15007,920.0 gram
128605,4.0 ton
15008,28.0 gram
128606,
89424,
89423,
15332,680.0 gram
128739,
128607,91.0 ounce
128608,
15331,
15015,13.2 pound
128610,
15330,
15018,182.0 gram
128737,
89023,
15019,
15024,196.0 gram
128736,140608.0 ton
128613,
89029,100128.0 gram
15029,225.0 gram
89040,93.5 gram
15305,64.0 gram
128615,310.0 gram
128740,450.0 ton
128735,
128604,330.0 pound
15345,
14956,
14959,21.8 pound
14961,
128586,
128747,598.0 gram
14967,48.0 gram
14968,1949.0 ton
128589,
128590,170.1 gram
128591,
89469,120.0 kilogram
14977,26.0 ounce
128592,
128594,19.6 pound
14980,
14986,
128595,128.0 gram
128596,240.0 gram
89449,
14993,1.9 kilogram
128744,120.0 gram
128598,
14999,180.0 gram
128743,
128600,242.0 pound
128741,85.0 gram
15002,1.1 pound
128601,
128410,16.0 ton
128839,15.0 pound
128840,290.0 gram
128919,100.0 pound
128918,1.0 ounce
13970,5.0 gram
128210,65.0 pound
90757,20.0 gram
128212,
90750,
90749,13.7 gram
128213,
88396,
90747,
15801,15.0 kilogram
13960,
13980,85.0 gram
90731,40.0 kilogram
128917,255.0 gram
13989,193.0 gram
128217,
90719,154.0 gram
128220,14.0 ton
13995,300.0 gram
13996,330.0 pound
90708,180.0 gram
15794,212.0 gram
128222,
128223,121.0 pound
128214,
128208,
13957,
128207,30.0 gram
88374,
90838,
90837,
13914,737.0 gram
13915,400.0 gram
15813,5.0 ton
15812,111.0 ton
128185,
88381,
128187,
128190,
128927,300.0 pound
15810,
90807,0.8 pound
128925,
13939,
90798,0.7 pound
128192,85.0 gram
128923,
128194,
128197,
128202,100.0 kilogram
90784,
128203,
128921,1.0 kilogram
88391,18.0 gram
90780,
14010,240.0 gram
128225,271.0 gram
14014,2.0 ton
128226,
14066,5.0 ton
128238,160.0 gram
88435,
128240,500.0 pound
128241,3.3 pound
128906,222.0 pound
128244,128.0 gram
88436,680.0 gram
128246,30.0 pound
14075,1.8 kilogram
128248,800.0 gram
128905,
14080,27.0 gram
14082,283.0 gram
128904,7.6 kilogram
14090,1.0 pound
128251,6.7 ounce
14097,
15762,
128252,298.0 gram
128903,4.0 ton
14099,100.0 ounce
14100,44.0 pound
90588,
14101,
14104,8.0 pound
15758,500.0 gram
128237,175.0 gram
128181,15.4 pound
88434,8.8 gram
88432,
15792,200.0 gram
14021,175.0 ounce
90684,
128227,12.0 ton
15789,124.6 pound
15788,
90679,
15780,185.0 gram
14025,400.0 pound
128230,
14027,
15775,200.0 gram
14032,1.0 ounce
14038,100.0 gram
128232,
90654,15.0 kilogram
14044,
14048,
128233,15.0 pound
14049,34.5 gram
128234,15.0 pound
14056,
128912,45.0 pound
128235,
14057,25.0 pound
128911,
128236,14.8 pound
14062,
128900,256.0 gram
128180,5.0 pound
13902,
88265,2.5 kilogram
13776,
128125,
128126,50.0 gram
128955,550.0 gram
128128,85.0 gram
128130,300.0 pound
128954,89.0 gram
128133,12000.0 pound
13790,748.0 gram
128136,1.5 pound
13796,
128121,
15892,57.0 pound
128137,
128138,
13804,60.0 gram
128139,
15884,
128950,39.7 gram
15876,2.9 pound
15875,312.0 gram
15873,7.0 ounce
128949,32.0 gram
128145,2.3 kilogram
128947,
13797,128.0 gram
91018,140.0 gram
128120,2.7 gram
91020,
128961,
13725,
91074,80.0 gram
128102,180.0 gram
15914,
128103,
128104,
88250,141.0 gram
128105,0.0 ton
91060,
13734,
128108,
13738,1.1 pound
128109,
128110,800.0 gram
15913,128.0 gram
13745,150.0 pound
128111,64.0 gram
128113,
13758,136.0 gram
128959,330.0 pound
13759,
15907,
128114,300.0 gram
128115,
128118,
128119,2.5 pound
13818,100.0 gram
90958,
128946,
15866,6.2 pound
128938,20.0 gram
128164,
128165,
128166,
13887,
13888,
88341,180.0 gram
128168,120.0 gram
128936,330.0 pound
13889,
13892,
13893,3.0 gram
15838,
128170,
128171,56.0 ounce
15837,100.0 gram
13894,
90859,
128935,300.0 gram
88357,
88360,1100.0 pound
128173,
128174,10.0 gram
15824,380.0 gram
13901,148.0 gram
128933,0.8 pound
128178,311.0 gram
15843,17.6 pound
13907,
90894,
13871,185.0 gram
88310,2.5 kilogram
90951,750.0 pound
13830,
15862,49.0 ton
15858,700.0 gram
13835,
90936,
128944,
128149,
128942,256.0 gram
90926,
90925,
15854,250.0 gram
128152,
128154,10.6 gram
13847,
128940,0.6 pound
15850,2.6 kilogram
128155,113.0 gram
13853,
128156,440.0 pound
13860,64.0 gram
13861,
128939,20.0 kilogram
13864,
128159,260.0 gram
15847,
128161,
13722,3.3 pound
128899,900.0 gram
15757,1.7 kilogram
128363,182115.0 ton
15635,43.0 gram
90250,32.0 gram
128861,20.0 kilogram
88603,3.2 kilogram
128364,
88604,
14370,600.0 gram
128860,
14375,22.0 pound
14377,283.0 gram
14381,270.0 gram
128862,20.0 ton
128368,160.0 ton
128859,
128858,1.0 pound
14385,8.0 ounce
128857,64.0 gram
88622,400.0 gram
128856,170.0 pound
14389,20.3 pound
88624,614.0 ton
14390,150.0 gram
90216,70.0 pound
14395,85.0 gram
128371,291.0 ton
14383,
14362,423.0 gram
15639,8.0 kilogram
128362,
14312,453.0 gram
128869,
128351,250.0 gram
128866,21.1 pound
128865,80.0 gram
128355,
14323,
14324,
128864,0.2 pound
90296,120.0 gram
88577,271.0 gram
14330,
128356,
128357,2.8 pound
90284,2.0 ton
14338,
14339,
128358,
90276,
15646,
128360,
14348,2.0 ounce
128863,5.0 gram
90268,
14359,
15643,6.0 gram
90260,10.0 pound
15614,
90202,256.0 gram
14405,32.0 ounce
128855,
128843,
14470,16.0 kilogram
128392,2.5 pound
15578,512.0 gram
14475,67.0 pound
128395,
128396,209.0 gram
14476,501.6 gram
15575,
128398,
88686,
14481,3.0 ton
14483,
128399,12.8 pound
88688,8.0 gram
128400,128.0 gram
128842,4.0 ton
128401,1.5 pound
14488,567.0 gram
128402,16.0 gram
14490,512.0 gram
128841,8294.0 ton
15570,
90074,
128406,
14510,500.0 gram
128407,140.0 gram
128390,110.0 pound
14310,
128847,
14462,28.0 gram
14406,283.0 gram
14407,240.0 gram
128853,
15604,
128372,1.9 pound
14412,
128373,
128377,
128378,
128380,340.0 gram
88650,
15599,8.0 ounce
15598,5.0 pound
128382,
14435,5.0 pound
14442,480.0 gram
128851,
14443,300.0 pound
128384,
14447,15.0 gram
14453,
128850,
14456,150.0 kilogram
15588,
128849,
15587,
14459,8.6 kilogram
14464,
128898,100.0 gram
15664,
128348,
128894,440.0 pound
14178,10.0 pound
14179,170.0 gram
128892,13.0 ounce
14180,6.0 gram
14183,
128280,
128282,22.0 pound
14188,454.0 gram
128284,
128889,220.0 pound
128285,9.2 ounce
128277,300.0 pound
14195,10.0 gram
14198,30.0 gram
128286,
15720,200.0 pound
128887,
128288,44.1 pound
128886,
128884,454.0 gram
128289,
14208,30.4 pound
128883,
128291,
128292,
14196,16.0 gram
90489,113.0 gram
14173,14.3 ounce
128895,
128255,
15756,
15755,
14119,32.0 gram
90565,1.0 pound
128258,0.8 pound
14123,
128260,80.0 pound
128261,260.0 gram
128262,
15751,
128267,
14136,
14139,
15750,13.0 pound
128270,7.8 ounce
14141,210.0 gram
128897,
15743,
14153,454.0 gram
128272,32.0 gram
128273,8.0 pound
128276,50.0 pound
14160,
14165,
14168,
88471,85.0 gram
128295,
128298,375.0 pound
128881,
90433,350.0 gram
128329,
90372,3.9 pound
14269,130.0 gram
14271,155.0 gram
90364,1.0 ton
128330,
14274,
128331,
15683,62.0 pound
128334,90.0 kilogram
14277,50.0 gram
128336,7.8 ounce
128873,
14280,128.0 gram
128337,
15678,20.5 pound
128338,500.0 gram
128872,
15676,375.0 gram
14286,660.0 pound
15675,
128870,
128343,
14296,
128344,
128345,6.7 ton
14301,
128328,
14308,8.0 ton
14266,
14265,
128300,12.7 kilogram
128302,
90427,14.0 gram
128303,
14228,475.0 gram
88506,2.5 pound
128879,160.0 gram
88520,24.0 kilogram
128878,291.0 ton
128308,20011.0 ton
128310,600.0 pound
128311,10.1 pound
128312,100.0 gram
128313,4.2 kilogram
128316,
14243,
128317,340.0 gram
15689,350.0 gram
14250,
14251,600.0 pound
128319,250.0 gram
128320,
128877,100.0 gram
128321,
128323,24.0 gram
128325,
14264,610.0 gram
128876,9.4 pound
127526,
16737,8.0 gram
93073,
129692,
17797,
10033,
10034,400.0 gram
17796,
129690,176.0 gram
126776,15.0 pound
126777,
126778,91.0 kilogram
129688,550.0 gram
17786,
126781,
10031,
10042,30.0 kilogram
126782,1.0 ton
17785,
126783,276.0 gram
95705,8.7 ounce
126784,
95700,
10058,30.0 gram
17779,3.5 kilogram
126786,
129685,
129684,220.0 pound
129682,
10044,4.4 ounce
85880,7.0 gram
17800,
10028,
9971,1.2 ton
126747,
126749,35.0 gram
126751,
9975,114.0 gram
129703,6.0 ounce
126752,
9979,
95792,
126757,250.0 pound
126758,
17818,28.0 pound
126761,220.0 pound
126762,32.0 gram
126764,
126766,225.0 gram
17817,
129699,
129696,20.0 gram
126769,
126771,
129695,4.0 gram
129693,9.0 gram
95738,30.0 gram
85877,
126772,344.0 gram
10027,5.5 pound
126793,2.0 kilogram
9969,17.6 kilogram
10065,
126796,
10124,
129673,110.0 gram
10136,454.0 gram
126817,35.0 pound
10137,340.0 gram
126818,4.0 ton
126819,
17751,2268.0 gram
17750,1813.0 gram
10147,63.0 ounce
10149,140.0 gram
129670,200.0 gram
129674,
95583,
17743,340.0 gram
129669,80.0 gram
17742,600.0 gram
126821,16.0 gram
17741,
10153,200.0 gram
126823,
10158,
10163,
17738,3.7 kilogram
10165,1.3 pound
126826,157.7 pound
126820,43.0 gram
10122,93.3 gram
129675,
10115,1.4 kilogram
126798,160.0 gram
10074,1.0 pound
17771,12.0 pound
10075,
129679,
95678,88.0 pound
10077,80.0 gram
126800,0.0 ton
10081,170.0 gram
126801,
126802,150.0 gram
129678,
10089,2.0 pound
126804,230.0 kilogram
10093,40.0 gram
10095,15.0 gram
126805,156.5 pound
10106,60.0 gram
85918,40.2 ounce
17763,60.0 gram
17762,
126806,2177.0 gram
17761,
126810,
126811,
126812,
126813,1.5 pound
126795,
129704,14.0 ton
9967,
95812,1.9 ounce
85738,64.0 ounce
126685,1703921.0 ton
129738,
17912,
129737,227.0 gram
9810,
129736,65.0 gram
129735,
126688,
129734,
126690,
129731,310.0 gram
126684,170.1 gram
85755,4.5 kilogram
129730,0.9 gram
126693,7.2 kilogram
9825,30.0 gram
17885,
85774,32.6 pound
9827,
9828,
126697,
17883,960.0 gram
9833,
95953,
129728,
9821,
126682,
126681,255.0 gram
85737,10.0 gram
96050,
96049,
126667,
96044,110.0 gram
17928,454.0 gram
9760,30.0 gram
9764,2835.0 ton
9766,
126669,567.0 gram
85714,
129745,
85719,330.0 pound
129744,300.0 gram
9773,
126672,125.0 pound
9778,
129742,
9782,
126673,209.0 pound
17923,
85723,
96012,120.0 kilogram
126674,
126675,
17915,220.0 pound
126678,
126680,0.6 pound
17874,
129727,13.0 pound
17870,
9845,907.0 gram
126729,
9906,
126730,
126733,
126736,6.0 pound
126737,240.0 gram
9924,
17847,17.0 pound
17842,
85826,8.2 ounce
9926,
129715,3.0 ounce
95850,
9932,
9933,580.0 kilogram
129711,17.0 pound
126740,155.0 gram
129710,22.0 pound
9943,125.0 gram
9950,20.0 kilogram
126741,
9952,204.0 kilogram
17834,
9960,
126744,
9964,
126746,350.0 pound
126726,
129668,2.0 ton
126725,
129717,320.0 gram
126698,
126700,
95932,
126701,300.0 gram
9853,
126702,5.0 ton
17864,400.0 gram
17862,
9859,861.0 gram
9865,
126705,30.0 gram
95912,
126706,32.0 gram
126707,24.0 ounce
126708,50.0 pound
126710,
129721,5000.0 gram
95907,0.9 kilogram
126713,450.0 pound
85803,67.0 gram
126719,15.0 pound
129719,340.0 gram
9888,1800.0 gram
126720,246.0 gram
126721,33.0 pound
9895,4.9 pound
126722,
17853,225.0 pound
10177,8.2 pound
126827,
126831,600.0 pound
95214,0.8 pound
86101,
126921,89.0 gram
126922,32.0 gram
95208,
17614,4000.0 gram
129607,
86111,8.0 ounce
10438,
129605,
17599,21.2 gram
126923,250.0 gram
126920,150.0 gram
129602,26.0 kilogram
10451,390.0 gram
95172,
126926,10.0 pound
95169,114.0 gram
126927,256.0 gram
10458,
95160,1100.0 pound
129598,
17588,
129596,175.0 gram
17583,
126929,
126924,
126919,191.0 ton
126918,
17616,2.0 pound
129623,245.0 pound
126905,1141.0 gram
95272,3.1 pound
10387,17.2 ounce
126906,
129621,18.0 pound
95261,128.0 gram
17629,
10394,
126909,16.0 gram
10399,85.0 gram
95250,8.0 ounce
17628,14.7 pound
126912,
126913,
10400,
17627,
95246,150.0 gram
17623,30.0 gram
126914,98.0 kilogram
129613,0.0 ton
95238,11.0 gram
10411,350.0 gram
126915,
95230,8.0 gram
129611,
129610,5.0 pound
126931,180.0 gram
129595,120.0 gram
126934,
126936,
129586,454.0 gram
129585,5.0 gram
10529,67.0 pound
10532,
17554,100.0 gram
129584,0.0 gram
10534,
126958,
126959,
10541,7.0 gram
95061,150.0 kilogram
126960,21.0 pound
129583,4.0 pound
126963,
126964,32.0 gram
126966,
126967,
10554,
126968,2.0 kilogram
10563,96.0 gram
17544,
129580,
126972,300.0 pound
10571,105.0 gram
126973,80.0 gram
10572,
95024,
95084,35.0 pound
10382,5.0 pound
10524,212.0 gram
126956,907.0 gram
126940,
126941,256.0 gram
129593,276.0 gram
10490,28.0 gram
10492,16.0 ounce
126942,12.0 gram
126944,
129591,4.0 ounce
95121,200.0 pound
10499,44.0 gram
10501,
10502,226.0 gram
129590,2.4 gram
126945,16.0 gram
126947,
17573,55.0 pound
129589,10.0 pound
126950,
17568,1.0 ton
17567,
126953,121.0 pound
129588,
126955,
10517,
10518,
17564,
95094,
95088,
126666,
126903,
10378,
129658,24.0 pound
95460,510.0 gram
10246,300.0 gram
126851,28.0 gram
129657,
17708,
126852,180.0 gram
85989,
129655,
126853,45.0 pound
126855,
10260,31.0 gram
10238,
95435,26.0 gram
10265,454.0 gram
10270,22.0 ton
129652,44.0 pound
126857,284.0 gram
129651,
129650,
10281,140.0 gram
129649,238.0 gram
126858,
126860,100.0 gram
129648,
17699,453.0 gram
85990,
10236,8.4 kilogram
10234,9072.0 gram
10233,
126833,
10189,300.0 gram
129667,440.0 pound
129665,182115.0 ton
10191,
129664,85.0 gram
126836,
10196,0.7 gram
10198,338.0 gram
126837,
10206,
126839,
126840,13.5 gram
95511,207.0 gram
126842,22.0 pound
126844,820.0 gram
17727,
95500,
126845,
10221,
129661,64.0 gram
10225,
126847,40.0 gram
95484,
126848,50.0 gram
129659,300.0 pound
10230,40.0 gram
10286,
17695,25.0 gram
17692,
126864,5.0 pound
86046,1.4 kilogram
126885,
95327,
95326,
95324,400.0 kilogram
126886,3.6 pound
17663,
126887,550.0 gram
129627,129.0 gram
17661,284.0 gram
95317,
10348,300.0 kilogram
10349,570.9 gram
129626,12.0 ounce
126888,11.0 gram
126889,
10350,850.0 gram
86052,180.0 gram
17653,
126892,28.0 kilogram
126893,330.0 pound
129624,8.0 pound
126897,
10369,1.0 ton
126899,180.0 gram
17648,220.0 pound
126901,
17664,50.0 gram
10380,60.0 gram
10331,
17665,4.0 pound
126865,2.0 pound
126866,
10294,
10295,85.0 gram
129646,4.0 pound
126868,
10300,400.0 gram
10301,4.5 kilogram
126871,
10310,
10311,792.0 gram
10312,3.9 kilogram
129643,
129642,212.6 gram
129640,
10313,10.0 gram
129635,
95368,
126875,10.0 pound
10319,
17668,100.0 gram
126876,430.0 gram
10321,680.0 gram
86042,12.0 gram
129634,
126878,
129631,
126880,5000.0 pound
17930,113.0 gram
17931,
129749,2.0 ton
85369,
18192,8.0 gram
129853,64.0 gram
85371,3.5 pound
18189,44.0 ton
9226,
126478,
126479,
96713,300.0 pound
9240,1.8 ounce
126482,
129851,
9222,4.0 ton
9246,
18183,
85394,
126483,80.0 gram
9256,
126485,37.5 gram
18171,22.0 gram
126487,162.0 gram
126489,
9264,4.6 pound
129846,60.0 pound
9267,227.0 gram
9268,
9254,226.0 gram
9221,2012.0 gram
126476,274.0 gram
126474,2.0 ton
9190,
129862,41.0 kilogram
9192,8.0 gram
126452,
129861,
9197,
129859,
85352,420.0 gram
85355,
129857,
126456,
126457,
126460,
9207,
126461,17.0 pound
126463,30.0 gram
126464,
18205,
126465,
126466,
126467,
18199,95.8 pound
9212,
18198,42.0 gram
126469,
126470,
126472,
96668,
9269,
126490,
126491,
126505,170.1 gram
126507,550.0 gram
126508,42.0 gram
129832,20.0 kilogram
126509,6.6 pound
126511,47.0 kilogram
126512,5.0 ton
96574,
96573,
126513,9.0 gram
126514,40.0 pound
18139,308.5 gram
96566,
9347,
129831,
126516,6521212.0 ton
126518,
18131,60.0 gram
9363,
18128,907.0 gram
126521,
129828,125.0 gram
126524,
18123,
18122,6.9 ounce
96538,70.0 gram
126525,256.0 gram
9321,12.0 ounce
126450,
129834,
9313,
18169,
129844,7.0 pound
126496,
126499,4.0 pound
9281,227.0 gram
18165,117.0 gram
129843,
9284,81.0 kilogram
85409,
9285,0.9 kilogram
96638,22.0 pound
129842,24.0 pound
126500,
126501,
129840,
9290,136.0 kilogram
96631,10.0 gram
9293,440.0 pound
18158,340.0 gram
18154,454.0 gram
9300,907.0 gram
18149,20.0 gram
18148,90.0 gram
85434,85.0 gram
96613,1.2 ounce
129839,809.0 gram
126503,64.0 gram
129835,5.0 kilogram
129826,55.0 pound
129863,
126449,330.0 gram
18298,41.0 gram
96961,
129900,2.1 pound
9038,1.0 ounce
126413,10.0 kilogram
126414,
126416,65.0 kilogram
96950,
126417,
9045,
126419,
9051,17.6 kilogram
18299,5.1 ounce
126420,
126422,
9054,300.0 gram
9061,
129895,
96919,
129894,25.0 kilogram
9072,5.0 pound
9079,
85251,20.0 pound
18286,400.0 gram
126424,16.0 ounce
129893,
129896,
9034,
129903,
96968,297.0 gram
18315,2.0 ounce
18314,400.0 gram
8988,
18310,3.5 pound
129907,
126397,453.0 gram
126400,15.0 pound
126401,0.2 pound
8993,
8997,
18307,300.0 gram
18306,75.0 gram
129906,600.0 pound
9000,135.0 gram
97004,25.4 gram
126403,110.0 ton
126404,
126406,
9010,302.0 gram
96987,6.6 pound
9017,
9020,340.0 gram
9024,
126407,5.0 ounce
126408,4.0 ounce
18302,285.0 gram
126410,13.0 pound
18281,3.6 pound
9083,5.8 pound
18280,227.0 gram
126428,
96838,
129876,50.0 gram
9132,207.0 gram
126441,64.0 gram
129875,
9138,
9139,468.0 gram
96823,303.0 gram
129873,42.5 gram
96812,50.0 gram
85320,128.0 gram
9153,7.0 gram
129871,255.0 gram
129869,
129867,50.0 pound
126443,3.2 pound
96807,260.0 pound
129866,312.0 gram
126444,
85338,
18217,
129865,280.0 gram
9161,224.0 gram
18215,56.0 gram
9163,8.0 gram
9165,7.5 kilogram
126447,100.0 gram
126439,595.0 gram
129864,4.0 kilogram
9123,80.0 gram
9120,
129890,971.0 ton
18276,450.0 gram
96903,5.0 kilogram
129888,
96901,16.0 gram
9087,
9088,256.0 gram
126430,
9089,1.7 pound
18255,
18251,
126431,312.0 gram
129884,
126433,12.7 ounce
96883,100.0 kilogram
18250,18.2 kilogram
129880,440.0 pound
18249,
126436,20.0 ounce
9109,453.0 gram
9110,6.0 gram
129879,1.0 ton
126437,113.0 gram
129877,94.2 pound
85305,
9117,
85307,6.0 gram
96847,
10575,
126526,50.0 pound
126527,
96235,12.0 kilogram
9633,
126614,850.0 gram
96233,
96232,
129772,
126616,
96231,
9641,16.0 ounce
126617,4.8 pound
9643,
17989,170.0 gram
96237,6.0 gram
129770,250.0 gram
129768,50.0 gram
129767,128.0 gram
129765,
126623,1.0 pound
9650,400.0 gram
9651,85.0 gram
126628,
126629,
129764,
17976,
96194,145.0 gram
126631,
126621,
126613,
96241,
126611,
18019,280.0 gram
129776,
85599,40.0 pound
126601,2.0 gram
126602,
85601,
9601,2.2 pound
126606,
9602,1000.0 gram
18006,9.5 kilogram
129775,500.0 gram
9603,
9605,3.0 gram
9606,
9610,400.0 gram
9611,
126607,
129774,4.1 pound
18005,48.0 pound
9613,
96258,64.0 gram
18003,1.9 pound
126608,16.0 ton
18002,454.0 gram
126609,32.0 gram
129773,180.0 gram
17996,3.0 pound
126632,
9663,
9670,
126633,2.0 ton
96101,
96098,1230.0 gram
17959,3.0 pound
126657,
17958,
96096,16.0 gram
17955,
9731,226.7 gram
126658,4.4 pound
17952,16.0 gram
129753,16.0 gram
126662,82.5 gram
9735,12.0 pound
9736,453.0 gram
129752,
17951,
9738,
96083,50.0 kilogram
126663,
17948,
9743,
9744,31.0 gram
17945,
17942,85.0 gram
126664,
129751,1.2 gram
96066,80.0 gram
129754,19.0 pound
9591,
129755,
129757,70.0 pound
126634,40.0 gram
96173,10.0 pound
9676,12.0 kilogram
129763,
9677,
96160,118.0 gram
126636,13.0 gram
96152,
126637,56.0 ounce
96149,
17972,35.0 ounce
126639,
17971,227.0 gram
129761,
9696,28.0 gram
96137,30.0 gram
126640,2.0 ton
9704,
126641,50.0 gram
85652,
126645,11.0 pound
129760,
17970,1.2 pound
129758,
126648,9.0 gram
17966,800.0 gram
126653,
126654,
129824,
129777,32.0 gram
126599,6.0 ounce
129811,5.0 pound
126548,
129807,4.0 gram
18079,198.0 gram
9436,660.0 pound
18078,
9446,120.0 gram
9447,650.0 gram
9448,6.0 kilogram
129806,180.0 gram
18077,908.0 gram
9449,12.0 ounce
126547,6.0 gram
129804,
9460,0.2 kilogram
9461,0.5 ton
85522,
129803,250.0 pound
126555,
9466,187.0 gram
129799,
126557,
85527,0.7 pound
9468,
126560,86.0 pound
126562,
126552,
126545,
129812,250.0 gram
126543,
9384,
129823,
126528,480.0 gram
18115,
9392,
18112,52.0 gram
9395,3.3 gram
129821,
126530,
9404,27.0 pound
126531,
126532,
18109,
18103,330.0 pound
85488,1000.0 gram
96496,100.0 pound
129817,
9409,70.0 pound
126536,
9418,
129816,
9420,
129815,127.6 pound
126539,229.0 gram
18095,4700.0 gram
18094,
126542,
18058,1.0 gram
129797,1720.0 gram
129796,
129794,1.1 pound
126587,35.0 pound
9530,90180.0 gram
9538,227.0 gram
85566,
9539,581.0 gram
9540,1.2 ounce
129783,128.0 gram
126590,1202340.0 gram
18034,
9551,5.0 pound
126591,3.0 pound
126592,150.0 gram
129782,
129780,283.0 gram
126593,250.0 gram
9561,128.0 gram
9565,2022.0 gram
9566,
126594,100.0 ton
9573,229.0 gram
9574,39.0 gram
126595,454.0 gram
9576,180.0 gram
9577,3002840.0 gram
126596,1900.0 gram
129779,11.0 pound
9585,454.0 gram
129786,
96285,20.0 ton
126583,100.0 gram
9526,283.4 gram
9472,
85548,
9473,45.0 kilogram
126563,
96416,22.0 gram
9483,50.0 ounce
9487,22.0 pound
126566,284.0 gram
85552,
85553,
129792,
96398,
9495,
126569,15.0 pound
126571,
9502,150.0 gram
9509,65.0 gram
126574,432.0 gram
129787,66.0 gram
9510,7.5 pound
126575,
96376,
9515,
18048,29.6 gram
126578,
9521,
18047,220.0 pound
126579,5.0 gram
95017,
126974,
126976,
127332,560.0 gram
17055,22.0 kilogram
127333,40.0 pound
11550,
127334,2.0 gram
127336,
127338,330.0 pound
129389,
11556,
17053,
86801,2.0 pound
127339,
17056,170.0 gram
17044,3.8 gram
129385,19.5 pound
129384,
127342,
11569,150.0 gram
129383,
11571,170.0 gram
17041,69.0 gram
17040,439.0 gram
17037,23.0 gram
129382,256.0 gram
11582,
11583,645.0 gram
129387,
11533,15.0 pound
17060,
127329,4.7 gram
127309,9.0 gram
129402,12.0 ton
127310,
11497,
129401,
129399,250.0 pound
127311,5000.0 gram
11503,60.0 pound
129397,155.0 gram
93794,128.0 gram
127313,
127314,13.7 kilogram
127315,
17069,33.0 ton
11514,14.0 ton
127318,35.0 pound
129395,
17066,
127322,4.0 gram
86774,240.0 gram
127326,
129392,
129391,
127327,16.0 gram
11531,2.5 gram
127328,14.0 pound
86782,6.0 gram
127346,88.0 pound
129381,1729.0 gram
129380,128.0 gram
11594,
11644,32.0 ton
129367,
127368,
11654,340.0 gram
127372,13.0 ton
127374,5.0 pound
17006,12.0 ounce
